,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1972,1972,,WPR,Western Pacific,,,,,AUS,Australia,,,,,40,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1977,1977,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1978,1978,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1979,1979,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1980,1980,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
6,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1981,1981,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
7,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1982,1982,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,
8,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1983,1983,,WPR,Western Pacific,,,,,AUS,Australia,,,,,4,,,,,,
9,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1984,1984,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,
10,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1985,1985,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
11,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1987,1987,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,
12,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1988,1988,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,
13,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1992,1992,,WPR,Western Pacific,,,,,AUS,Australia,,,,,3,,,,,,
14,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1993,1993,,WPR,Western Pacific,,,,,AUS,Australia,,,,,5,,,,,,
15,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1994,1994,,WPR,Western Pacific,,,,,AUS,Australia,,,,,3,,,,,,
16,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1995,1995,,WPR,Western Pacific,,,,,AUS,Australia,,,,,5,,,,,,
17,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1996,1996,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
18,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1997,1997,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
19,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1998,1998,,WPR,Western Pacific,,,,,AUS,Australia,,,,,5,,,,,,5 of 5 reported cases are imported.
20,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1999,1999,,WPR,Western Pacific,,,,,AUS,Australia,,,,,4,,,,,,4 of 4 reported cases are imported.
21,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,,,,,,1 of 1 reported cases are imported.
22,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,4 of 2 reported cases are imported.
23,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,,,AUS,Australia,,,,,5,,,,,,2 of 5 reported cases are imported.
24,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,
25,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,,,,,,2 of 2 reported cases are imported.
26,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,,,AUS,Australia,,,,,3,,,,,,3 of 3 reported cases are imported.
27,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,,,,AUS,Australia,,,,,3,,,,,,3 of 3 reported cases are imported.
28,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,,,AUS,Australia,,,,,3,,,,,,3 of 3 reported cases are imported.
29,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,,,AUS,Australia,,,,,6 ,,,,,,6 of 6  reported cases are imported.
30,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,,,AUS,Australia,,,,,5,5.00000,,,,,5 of 5 reported cases are imported. 
31,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,,,AUS,Australia,,,,,3,3.00000,,,,,2 imported cases
32,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,2.00000,,,,,
33,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,,,AUS,Australia,,,,,2,2.00000,,,,,
34,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,,,AUS,Australia,,,,,1,1.00000,,,,,1 of 1 reported cases are imported.
35,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1969,1969,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
36,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1972,1972,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
37,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1977,1977,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
38,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1978,1978,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
39,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1979,1979,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
40,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1980,1980,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
41,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1981,1981,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
42,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1982,1982,,WPR,Western Pacific,,,,,AUS,Australia,,,,,0,0.00000,,,,,
