,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1970,1970,,EUR,Europe,,,,,FRA,France,,,,,1,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,FRA,France,,,,,3,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,FRA,France,,,,,4,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,FRA,France,,,,,5,,,,,,
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,FRA,France,,,,,9,,,,,,
6,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,FRA,France,,,,,5,,,,,,
7,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,FRA,France,,,,,8,,,,,,
8,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,FRA,France,,,,,1,,,,,,
9,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,FRA,France,,,,,20,,,,,,
10,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,FRA,France,,,,,18,,,,,,
11,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,FRA,France,,,,,3,,,,,,
12,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,FRA,France,,,,,1,,,,,,
13,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,FRA,France,,,,,37,,,,,,
14,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,FRA,France,,,,,7,,,,,,
15,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,FRA,France,,,,,1,,,,,,
16,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,FRA,France,,,,,6,,,,,,
17,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,FRA,France,,,,,7,,,,,,
18,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,FRA,France,,,,,5,,,,,,
19,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,FRA,France,,,,,4,,,,,,
20,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,FRA,France,,,,,6,,,,,,
21,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,FRA,France,,,,,8,,,,,,
22,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,FRA,France,,,,,3,,,,,,
23,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,FRA,France,,,,,2,,,,,,2 of 2 reported cases are imported.
24,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,FRA,France,,,,,5,,,,,,
25,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,FRA,France,,,,,2,,,,,,2 of 2 reported cases are imported.
26,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,FRA,France,,,,,1,,,,,,1 of 1 reported cases are imported.
27,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,FRA,France,,,,,2,,,,,,2 of 2 reported cases are imported.
28,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,FRA,France,,,,,4,,,,,,4 of 4 reported cases are imported.
29,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,FRA,France,,,,,2,,,,,,2 of 2 reported cases are imported.
30,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,FRA,France,,,,,1,,,,,,1 of 1 reported cases are imported.
31,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,FRA,France,,,,,1 ,,,,,,1 of 1  reported cases are imported.
32,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,FRA,France,,,,,1,1.00000,,,,,
33,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,FRA,France,,,,,1,1.00000,,,,,
34,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1970,1970,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
35,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
36,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
37,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
38,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
39,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
40,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
41,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
42,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
43,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
44,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
45,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
46,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
47,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,FRA,France,,,,,1,1.00000,,,,,
48,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
49,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
50,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
51,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
52,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
53,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
54,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
55,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
56,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
57,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
58,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
59,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
60,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,FRA,France,,,,,0,0.00000,,,,,
