,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,IRL,Ireland,,,,,1,,,,,,1 of 1 reported cases are imported.
2,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1955,1955,,EUR,Europe,,,,,IRL,Ireland,,BTSX,Both sexes,,2609,2609.00000,,,,,
3,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1955,1955,,EUR,Europe,,,,,IRL,Ireland,,FMLE,Female,,1108,1108.00000,,,,,
4,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1955,1955,,EUR,Europe,,,,,IRL,Ireland,,MLE,Male,,1501,1501.00000,,,,,
5,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1956,1956,,EUR,Europe,,,,,IRL,Ireland,,BTSX,Both sexes,,2473,2473.00000,,,,,
6,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1956,1956,,EUR,Europe,,,,,IRL,Ireland,,FMLE,Female,,1047,1047.00000,,,,,
7,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1956,1956,,EUR,Europe,,,,,IRL,Ireland,,MLE,Male,,1426,1426.00000,,,,,
8,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1957,1957,,EUR,Europe,,,,,IRL,Ireland,,BTSX,Both sexes,,2361,2361.00000,,,,,
9,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1957,1957,,EUR,Europe,,,,,IRL,Ireland,,FMLE,Female,,999,999.00000,,,,,
