,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,ITA,Italy,,,,,278,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,ITA,Italy,,,,,1,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1977,1977,,EUR,Europe,,,,,ITA,Italy,,,,,2,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,ITA,Italy,,,,,8,,,,,,
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,ITA,Italy,,,,,12,,,,,,
6,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,ITA,Italy,,,,,1,,,,,,
7,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,ITA,Italy,,,,,2,,,,,,
8,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,ITA,Italy,,,,,1,,,,,,1 of 1 reported cases are imported.
9,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,ITA,Italy,,,,,1,,,,,,1 of 1 reported cases are imported.
10,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,ITA,Italy,,,,,1,1.00000,,,,,1 imported case
11,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,ITA,Italy,,,,,23,23.00000,,,,,
12,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,ITA,Italy,,,,,0,0.00000,,,,,
