,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,PRT,Portugal,,,,,64,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,PRT,Portugal,,,,,2467,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,PRT,Portugal,,,,,1066,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,PRT,Portugal,,,,,1,,,,,,
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,PRT,Portugal,,,,,1,,,,,,
6,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,PRT,Portugal,,,,,4,4.00000,,,,,
7,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,PRT,Portugal,,,,,48,48.00000,,,,,
8,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,PRT,Portugal,,,,,8,8.00000,,,,,
9,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,PRT,Portugal,,,,,0,0.00000,,,,,
10,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,PRT,Portugal,,,,,0,0.00000,,,,,
11,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,PRT,Portugal,,,,,0,0.00000,,,,,
12,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,PRT,Portugal,,,,,6.25,,,,,,
13,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,PRT,Portugal,,,,,1.95,,,,,,
14,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,PRT,Portugal,,,,,0.75,,,,,,
15,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,PRT,Portugal,,,,,0,,,,,,
16,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,PRT,Portugal,,,,,0,,,,,,
17,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,PRT,Portugal,,BTSX,Both sexes,,24332,24332.00000,,,,,
18,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,PRT,Portugal,,FMLE,Female,,11114,11114.00000,,,,,
19,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,PRT,Portugal,,MLE,Male,,13218,13218.00000,,,,,
20,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,PRT,Portugal,,BTSX,Both sexes,,23771,23771.00000,,,,,
21,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,PRT,Portugal,,FMLE,Female,,10847,10847.00000,,,,,
22,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,PRT,Portugal,,MLE,Male,,12924,12924.00000,,,,,
23,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1961,1961,,EUR,Europe,,,,,PRT,Portugal,,BTSX,Both sexes,,22941,22941.00000,,,,,
24,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1961,1961,,EUR,Europe,,,,,PRT,Portugal,,FMLE,Female,,10454,10454.00000,,,,,
