,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1970,1970,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,1,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,3,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1972,1972,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,2,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,5,,,,,,
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,3,,,,,,
6,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,1,,,,,,
7,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,1,,,,,,
8,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1977,1977,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,2,,,,,,
9,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1980,1980,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,6,,,,,,
10,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,12,,,,,,
11,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,1,,,,,,
12,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,4,,,,,,
13,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,5,,,,,,
14,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,4,,,,,,
15,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,11,,,,,,
16,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,2,,,,,,
17,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1988,1988,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,10,,,,,,
18,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,1,,,,,,
19,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,6,,,,,,
20,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,8,,,,,,
21,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,5,,,,,,
22,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,13,,,,,,
23,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,18,,,,,,
24,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,10,,,,,,
25,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,13,,,,,,
26,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,6,,,,,,3 of 6 reported cases are imported.
27,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,18,,,,,,18 of 18 reported cases are imported.
28,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,33,,,,,,33 of 33 reported cases are imported.
29,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,9,,,,,,9 of 9 reported cases are imported.
30,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,13,,,,,,13 of 13 reported cases are imported.
31,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,49,,,,,,49 of 49 reported cases are imported.
32,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,32,,,,,,32 of 32 reported cases are imported.
33,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,8,,,,,,8 of 8 reported cases are imported.
34,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,16,,,,,,16 of 16 reported cases are imported.
35,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,8,,,,,,8 of 8 reported cases are imported.
36,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,32 ,,,,,,32 of 32  reported cases are imported.
37,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,17,17.00000,,,,,17 of 17 reported cases are imported. 
38,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,6,6.00000,,,,,6 imported cases
39,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,14,14.00000,,,,,
40,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,15,15.00000,,,,,
41,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,19,19.00000,,,,,19 of 19 reported cases are imported.
42,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1970,1970,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
43,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
44,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1972,1972,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
45,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
46,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
47,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
48,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
49,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1977,1977,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
50,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
51,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
52,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
53,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
54,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,1,1.00000,,,,,
55,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
56,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
57,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1988,1988,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
58,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
59,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
60,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
61,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
62,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
63,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
64,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
65,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
66,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
67,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
68,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
69,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
70,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
71,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
72,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
73,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
74,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
75,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
76,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
77,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
78,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
79,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,0.00000,,,,,
80,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1970,1970,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
81,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
82,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1972,1972,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
83,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
84,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
85,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1975,1975,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
86,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
87,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1977,1977,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
88,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
89,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
90,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
91,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
92,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,25,,,,,,
93,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
94,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,GBR,United Kingdom of Great Britain and Northern Ireland,,,,,0,,,,,,
