,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1981,1981,,EUR,Europe,,,,,FIN,Finland,,,,,1,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,FIN,Finland,,,,,2,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,FIN,Finland,,,,,1,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,FIN,Finland,,,,,1,,,,,,1 of 1 reported cases are imported.
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,FIN,Finland,,,,,1,,,,,,1 of 1 reported cases are imported.
6,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,FIN,Finland,,,,,1,,,,,,1 of 1 reported cases are imported.
7,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,FIN,Finland,,,,,0,0.00000,,,,,
8,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,FIN,Finland,,,,,0,0.00000,,,,,
9,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,FIN,Finland,,,,,0,0.00000,,,,,
10,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,FIN,Finland,,,,,0,,,,,,
11,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,FIN,Finland,,,,,0,,,,,,
12,CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,FIN,Finland,,,,,0,,,,,,
13,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1956,1956,,EUR,Europe,,,,,FIN,Finland,,BTSX,Both sexes,,2965,2965.00000,,,,,
14,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1956,1956,,EUR,Europe,,,,,FIN,Finland,,FMLE,Female,,1269,1269.00000,,,,,
15,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1956,1956,,EUR,Europe,,,,,FIN,Finland,,MLE,Male,,1696,1696.00000,,,,,
16,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1957,1957,,EUR,Europe,,,,,FIN,Finland,,BTSX,Both sexes,,2768,2768.00000,,,,,
17,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1957,1957,,EUR,Europe,,,,,FIN,Finland,,FMLE,Female,,1185,1185.00000,,,,,
18,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1957,1957,,EUR,Europe,,,,,FIN,Finland,,MLE,Male,,1583,1583.00000,,,,,
19,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1958,1958,,EUR,Europe,,,,,FIN,Finland,,BTSX,Both sexes,,2580,2580.00000,,,,,
20,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1958,1958,,EUR,Europe,,,,,FIN,Finland,,FMLE,Female,,1104,1104.00000,,,,,
21,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1958,1958,,EUR,Europe,,,,,FIN,Finland,,MLE,Male,,1476,1476.00000,,,,,
22,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,FIN,Finland,,BTSX,Both sexes,,2405,2405.00000,,,,,
23,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,FIN,Finland,,FMLE,Female,,1024,1024.00000,,,,,
24,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,FIN,Finland,,MLE,Male,,1381,1381.00000,,,,,
25,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,FIN,Finland,,BTSX,Both sexes,,2242,2242.00000,,,,,
26,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,FIN,Finland,,FMLE,Female,,954,954.00000,,,,,
27,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,FIN,Finland,,MLE,Male,,1288,1288.00000,,,,,
28,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1961,1961,,EUR,Europe,,,,,FIN,Finland,,BTSX,Both sexes,,2092,2092.00000,,,,,
