,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1958,1958,,EUR,Europe,,,,,ISL,Iceland,,BTSX,Both sexes,,104,104.00000,,,,,
2,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1958,1958,,EUR,Europe,,,,,ISL,Iceland,,FMLE,Female,,45,45.00000,,,,,
3,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1958,1958,,EUR,Europe,,,,,ISL,Iceland,,MLE,Male,,59,59.00000,,,,,
4,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,ISL,Iceland,,BTSX,Both sexes,,103,103.00000,,,,,
5,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,ISL,Iceland,,FMLE,Female,,44,44.00000,,,,,
6,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1959,1959,,EUR,Europe,,,,,ISL,Iceland,,MLE,Male,,59,59.00000,,,,,
7,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,ISL,Iceland,,BTSX,Both sexes,,102,102.00000,,,,,
8,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,ISL,Iceland,,FMLE,Female,,44,44.00000,,,,,
9,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1960,1960,,EUR,Europe,,,,,ISL,Iceland,,MLE,Male,,58,58.00000,,,,,
10,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1961,1961,,EUR,Europe,,,,,ISL,Iceland,,BTSX,Both sexes,,100,100.00000,,,,,
11,CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,,1961,1961,,EUR,Europe,,,,,ISL,Iceland,,FMLE,Female,,43,43.00000,,,,,
