,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1972,1972,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,3,,,,,,
2,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1987,1987,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,2,,,,,,
3,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,5,,,,,,
4,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1994,1994,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,2,,,,,,
5,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1995,1995,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,2,,,,,,
6,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1998,1998,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,1,,,,,,1 of 1 reported cases are imported.
7,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,1999,1999,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,1,,,,,,1 of 1 reported cases are imported.
8,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,1,,,,,,1 of 1 reported cases are imported.
9,CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,,,NZL,New Zealand,,,,,1,,,,,,1 of 1 reported cases are imported.
